State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
Montana,2018,345,18155,1.9003029468465986
Nebraska,2018,4580,42035,10.895682169620555
Nevada,2018,7235,45330,15.960732406794618
New Hampshire,2018,6375,46310,13.76592528611531
New Jersey,2018,111135,269985,41.1633979665537
New Mexico,2018,3565,39540,9.016186140617096
New York,2018,110045,399680,27.533276621297038
North Carolina,2018,46125,237005,19.461614733866377
North Dakota,2018,950,11405,8.329679964927664
Ohio,2018,37240,256660,14.509467778383856
Oklahoma,2018,6500,63570,10.224948875255624
Oregon,2018,20600,113240,18.19145178382197
Pennsylvania,2018,51335,291010,17.640287275351362
Rhode Island,2018,3445,26120,13.189127105666158
South Carolina,2018,10400,92205,11.279214793124018
South Dakota,2018,1220,13735,8.88241718238078
Tennessee,2018,14420,116240,12.40536820371645
Texas,2018,173170,618220,28.01106402251626
Utah,2018,8950,89290,10.023518871094188
Vermont,2018,1340,14450,9.273356401384083
Virginia,2018,72470,330075,21.955616147845188
Washington,2018,85255,279350,30.519062108466084
West Virginia,2018,985,23950,4.112734864300626
Wisconsin,2018,14130,133400,10.592203898050974
Wyoming,2018,220,9485,2.319451765946231
Puerto Rico,2018,995,24935,3.9903749749348307
United States,2019,2101060,8660225,24.261032478948295
Alabama,2019,6005,92645,6.4817313400615255
Alaska,2019,855,14275,5.989492119089317
Arizona,2019,36750,179870,20.43142269416801
