State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
North Dakota,2011,91,12070.0,7.539353769676885
Ohio,2011,3166,208140.0,15.210915729797252
Oklahoma,2011,488,47090.0,10.363134423444468
Oregon,2011,1959,,
Pennsylvania,2011,3223,,
Rhode Island,2011,278,19450.0,14.29305912596401
South Carolina,2011,653,61020.0,10.701409373975746
South Dakota,2011,96,11790.0,8.142493638676845
Tennessee,2011,972,77630.0,12.520932629138219
Texas,2011,7508,469080.0,16.005798584463204
Utah,2011,1043,51350.0,20.311587147030185
Vermont,2011,513,13100.0,39.160305343511446
Virginia,2011,1588,267620.0,5.933786712502802
Washington,2011,4748,196760.0,24.130920918885952
West Virginia,2011,101,18300.0,5.519125683060109
Wisconsin,2011,1772,102320.0,17.3182173573104
Wyoming,2011,63,8440.0,7.464454976303317
Puerto Rico,2011,26,20990.0,1.2386850881372082
United States,2012,120489,5968240.0,20.18836373872364
Alabama,2012,433,72880.0,5.941273326015368
Alaska,2012,31,16260.0,1.9065190651906518
Arizona,2012,2179,116930.0,18.63508081758317
Arkansas,2012,179,29530.0,6.061632238401626
California,2012,32016,821780.0,38.95933218136241
Colorado,2012,2424,149020.0,16.266272983492147
Connecticut,2012,2109,78450.0,26.883365200764818
Delaware,2012,447,23440.0,19.06996587030717
District of Columbia,2012,106,63600.0,1.6666666666666667
Florida,2012,3600,248300.0,14.49859041482078
Georgia,2012,2122,148830.0,14.257878115971243
Hawaii,2012,117,20930.0,5.590062111801243
Idaho,2012,930,25260.0,36.81710213776722
Illinois,2012,4285,220170.0,19.462233728482538
Indiana,2012,1751,94620.0,18.50560135277954
Iowa,2012,860,50950.0,16.8792934249264
Kansas,2012,980,50930.0,19.242096995876693
Kentucky,2012,534,51830.0,10.302913370634768
Louisiana,2012,359,45920.0,7.817944250871079
Maine,2012,203,17910.0,11.334450027917365
Maryland,2012,1618,179550.0,9.011417432470063
Massachusetts,2012,5672,229160.0,24.75126549135975
Michigan,2012,4555,198610.0,22.934394038568048
Minnesota,2012,3919,131690.0,29.759283165008732
Mississippi,2012,150,23640.0,6.345177664974619
Missouri,2012,1043,109650.0,9.512083903328774
Montana,2012,127,15360.0,8.268229166666666
Nebraska,2012,286,34720.0,8.237327188940093
Nevada,2012,747,27000.0,27.666666666666664
New Hampshire,2012,736,28950.0,25.42314335060449
New Jersey,2012,4213,181480.0,23.214679303504518
New Mexico,2012,439,35310.0,12.4327386009629
New York,2012,7572,321480.0,23.55356476297126
North Carolina,2012,2984,167900.0,17.772483621203097
North Dakota,2012,97,13120.0,7.393292682926829
Ohio,2012,3396,,
Oklahoma,2012,466,50420.0,9.242364141213804
Oregon,2012,2073,75780.0,27.355502771179733
Pennsylvania,2012,3489,,
Rhode Island,2012,302,20180.0,14.965312190287413
South Carolina,2012,826,63170.0,13.075827133132815
South Dakota,2012,120,12000.0,10.0
Tennessee,2012,919,79830.0,11.511962921207566
Texas,2012,8303,493980.0,16.808372808615733
Utah,2012,1134,54720.0,20.723684210526315
Vermont,2012,492,12870.0,38.22843822843823
Virginia,2012,1698,274280.0,6.190753974041126
Washington,2012,5367,,
West Virginia,2012,133,19900.0,6.683417085427135
Wisconsin,2012,1805,103030.0,17.51916917402698
Wyoming,2012,103,8710.0,11.82548794489093
Puerto Rico,2012,37,21750.0,1.7011494252873562
United States,2013,133158,6139220.0,21.68972605640456
Alabama,2013,517,76650.0,6.744944553163731
Alaska,2013,51,15210.0,3.353057199211045
Arizona,2013,2208,123410.0,17.891580909164574
Arkansas,2013,165,30660.0,5.38160469667319
California,2013,36087,849510.0,42.479782462831515
Colorado,2013,2782,154020.0,18.062589274120246
Connecticut,2013,2188,78850.0,27.74889029803424
Delaware,2013,479,22030.0,21.74307762142533
District of Columbia,2013,127,65300.0,1.9448698315467075
Florida,2013,3881,250330.0,15.503535333359965
Georgia,2013,2482,160820.0,15.433403805496829
Hawaii,2013,121,21140.0,5.723746452223273
Idaho,2013,996,25850.0,38.52998065764023
Illinois,2013,4605,226850.0,20.299757549041217
Indiana,2013,1904,100870.0,18.875780707841777
Iowa,2013,944,52440.0,18.001525553012968
Kansas,2013,1015,51240.0,19.80874316939891
Kentucky,2013,559,53920.0,10.367210682492582
Louisiana,2013,394,46750.0,8.427807486631016
Maine,2013,227,18840.0,12.048832271762208
Maryland,2013,1739,186780.0,9.31041867437627
Massachusetts,2013,6421,227780.0,28.189481078233385
Michigan,2013,5059,207800.0,24.345524542829644
Minnesota,2013,4276,133580.0,32.01078005689474
Mississippi,2013,161,24320.0,6.620065789473684
Missouri,2013,1204,105730.0,11.387496453229925
Montana,2013,121,15570.0,7.771355170199101
Nebraska,2013,304,36480.0,8.333333333333334
Nevada,2013,839,26850.0,31.247672253258845
New Hampshire,2013,848,28460.0,29.796205200281097
New Jersey,2013,4690,184720.0,25.38977912516241
New Mexico,2013,456,34900.0,13.065902578796562
New York,2013,8397,333710.0,25.162566300080908
North Carolina,2013,3114,173960.0,17.90066681995861
North Dakota,2013,109,12520.0,8.706070287539935
Ohio,2013,3721,218030.0,17.066458744209513
Oklahoma,2013,553,51900.0,10.655105973025048
Oregon,2013,2179,79040.0,27.56831983805668
Pennsylvania,2013,3961,243850.0,16.24359237236006
Rhode Island,2013,306,20740.0,14.754098360655739
South Carolina,2013,855,65140.0,13.125575683143998
South Dakota,2013,149,12770.0,11.667971808927172
Tennessee,2013,1004,,
Texas,2013,9173,514400.0,17.832426127527217
Utah,2013,1239,57980.0,21.36943773715074
Vermont,2013,535,12920.0,41.408668730650156
Virginia,2013,1900,276230.0,6.8783260326539475
Washington,2013,5808,209710.0,27.695388870344765
West Virginia,2013,150,19490.0,7.6962544894817855
Wisconsin,2013,2024,106210.0,19.05658600885039
Wyoming,2013,101,,
