State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
South Carolina,2005,492735.0,50460.0,9764.863258026158,458.0,50460.0,9.0764962346413,3555.0,52285.0,6.799273214114947,2108.0,145404.0,1.449753789441831
South Dakota,2005,69982.0,9460.0,7397.674418604651,69.0,9460.0,7.293868921775899,445.0,7305.0,6.091718001368926,157.0,30997.0,0.506500629093138
Tennessee,2005,1425989.0,66390.0,21478.97273685796,587.0,66390.0,8.841693026058142,7255.0,67810.0,10.699011945140835,3009.0,231634.0,1.2990320937340805
Texas,2005,5187008.0,389550.0,13315.38441791811,5262.0,389550.0,13.507893723527149,80600.0,391900.0,20.56647103853024,15867.0,995252.0,1.5942695920229246
Utah,2005,1058179.0,45110.0,23457.747727776547,555.0,45110.0,12.303258700953226,3065.0,42885.0,7.14702110294975,1886.0,95355.0,1.9778721619212416
Vermont,2005,262601.0,12770.0,20563.89976507439,363.0,12770.0,28.425998433829285,1280.0,12040.0,10.6312292358804,493.0,23609.0,2.0881867084586383
Virginia,2005,8746472.0,236650.0,36959.52672723431,960.0,236650.0,4.056623705894782,43185.0,225440.0,19.15587295954578,8568.0,358070.0,2.392828217946212
Washington,2005,2641154.0,160960.0,16408.759940357853,2275.0,160960.0,14.133946322067594,30925.0,162415.0,19.04072899670597,11864.0,293676.0,4.039826203026465
West Virginia,2005,807540.0,16040.0,50345.38653366584,92.0,16040.0,5.735660847880299,670.0,15865.0,4.223132682004413,567.0,53493.0,1.0599517693903877
Wisconsin,2005,651821.0,93590.0,6964.643658510525,1476.0,93590.0,15.77091569612138,8450.0,95440.0,8.853730092204525,3802.0,227297.0,1.672701355495233
Wyoming,2005,37538.0,7350.0,5107.210884353742,46.0,7350.0,6.258503401360544,190.0,6360.0,2.9874213836477987,122.0,27576.0,0.4424136930664345
Puerto Rico,2005,101433.0,20950.0,4841.670644391408,25.0,20950.0,1.1933174224343677,2070.0,24765.0,8.358570563294974,,83915.0,
United States,2006,119302170.0,5407710.0,22061.495531380195,89375.0,5407710.0,16.527328573462704,1122710.0,5473875.0,20.510333173483136,350908.0,13902859.0,2.523998840813965
Alabama,2006,2198241.0,66100.0,33256.293494704994,368.0,66100.0,5.567322239031769,5170.0,67000.0,7.716417910447761,3300.0,166469.0,1.9823510683670835
Alaska,2006,212144.0,10720.0,19789.552238805973,34.0,10720.0,3.171641791044776,1060.0,13090.0,8.097784568372804,291.0,45094.0,0.6453186676719741
Arizona,2006,2459645.0,98110.0,25070.27825909693,1669.0,98110.0,17.011517684231983,16015.0,107720.0,14.867248421834386,4760.0,245957.0,1.935297633326151
Arkansas,2006,161824.0,24860.0,6509.412711182622,144.0,24860.0,5.792437650844731,1380.0,25450.0,5.422396856581532,572.0,95875.0,0.5966101694915255
California,2006,26897630.0,,,22191.0,,,291755.0,770995.0,37.841360838915946,71335.0,1812210.0,3.936353954563765
Colorado,2006,2188732.0,133730.0,16366.798773648394,2120.0,133730.0,15.85283780752262,14330.0,130130.0,11.012064858218706,6153.0,232647.0,2.644779429779881
Connecticut,2006,1946644.0,79380.0,24523.10405643739,1659.0,79380.0,20.8994708994709,18290.0,80465.0,22.73037966817871,9049.0,219768.0,4.117523934330749
Delaware,2006,112658.0,21550.0,5227.749419953597,367.0,21550.0,17.03016241299304,3305.0,17795.0,18.5726327620118,1588.0,55174.0,2.878167252691485
District of Columbia,2006,4193242.0,64120.0,65396.787273861504,69.0,64120.0,1.0761072988147222,4030.0,25035.0,16.09746355102856,3762.0,88125.0,4.268936170212766
Florida,2006,3346486.0,246190.0,13593.102888013324,2567.0,246190.0,10.426906048174176,47100.0,230635.0,20.421878726125698,6339.0,750524.0,0.8446098992170803
Georgia,2006,1750782.0,136470.0,12829.061332160914,1476.0,136470.0,10.815563860189052,27105.0,155135.0,17.47187933090534,4440.0,406016.0,1.0935529634300123
Hawaii,2006,380297.0,18940.0,20079.03907074973,87.0,18940.0,4.593453009503696,3665.0,21100.0,17.369668246445496,518.0,60847.0,0.8513155948526632
Idaho,2006,300045.0,,,1661.0,,,1320.0,24070.0,5.4840049854590776,927.0,51126.0,1.8131674686069712
